,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
35,202210,PE,CONSULTORA,MASIVO,1158_1269_311750_311750,999,VOLUMEN,200091759,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB NEW CODE 90ML,150.0,64.9,1.0,1760.0,0.567333,0.593422,0.000247,NEW CODE,CABALLEROS,ANTES DE APARECER (NUEVO),201401.0
38,202306,PE,CONSULTORA,MASIVO,1225_1652_385234_385234,2,SET,200082480,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB BLEU INTENSE NIGHT 100ML,158.0,58.92,1.0,5492.3,0.627089,0.669828,0.000811,BLEU INTENSE NIGHT,CABALLEROS,INACTIVO,201504.0
42,202307,PE,CONSULTORA,MASIVO,4170_4944_394888_394888,999,VOLUMEN,200083967,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,40,HUMECTANTES,0,0,LB ESSENTIAL HIDRA PG 50ML,104.0,45.75,2.0,155.08,0.560096,0.560096,2.9e-05,SKY,PARA ROSTRO,LIQUIDACION CON PLAN,201515.0
43,202307,PE,CONSULTORA,MASIVO,4134_4703_394647_394647,999,VOLUMEN,200106354,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB BLEU GLACIAL PARF 100ML,160.0,47.9,3.0,121.78,0.700625,0.700625,2.2e-05,BLEU GLACIAL,MASCULINO,ACTIVO,202212.0
44,202212,PE,CONSULTORA,MASIVO,1152_1235_321958_321958,999,VOLUMEN,200106355,10,COSMETICOS,A,LBEL,FRAGANCIAS,12,MUESTRAS COSMETICOS,1,COLONIA Y O EAU DE TOILETE,0,0,LB BLEU GLACIAL PROB 2ML,1.9,1.9,1.0,235.06,0.0,0.698426,0.004137,BLEU GLACIAL,FRAGANCIAS,ACTIVO,202212.0
45,202301,PE,CONSULTORA,MASIVO,1124_1239_361166_361166,999,VOLUMEN,P0280076000,10,COSMETICOS,A,LBEL,MAQUILLAJE,2,MAQUILLAJE,91,POLVOS,0,0,LB POLVOS CONTROL BRILLO 9G,92.0,28.45,2.0,46050.1,0.690761,0.690761,0.01539,EFFET PARFAIT,PARA ROSTRO,INACTIVO,201401.0
51,202311,PE,CONSULTORA,MASIVO,1068_1332_6444_6444,999,VOLUMEN,P0280067004,10,COSMETICOS,A,LBEL,MAQUILLAJE,2,MAQUILLAJE,20,BASE,0,0,LB BASE MINIMIZADORA 30ML,120.0,52.9,1.0,8293.55,0.559167,0.559167,0.003852,SOLUTIONS,PARA ROSTRO,ANTES DE APARECER (NUEVO),202314.0
54,202301,PE,CONSULTORA,MASIVO,1120_1220_361147_361147,999,VOLUMEN,200109468,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB CONCE TO CR NUT PM 30+ 50G,186.0,80.9,1.0,1508.32,0.565054,0.565054,0.000177,CONCENTRE TOTAL,PARA ROSTRO,A DESCONTINUAR BAJO ANALI,202216.0
55,202317,PE,CONSULTORA,MASIVO,1349_1492_31049_31049,999,VOLUMEN,200051249,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB BLEU INTENSE 100ML,160.0,56.88,1.0,19569.29,0.6445,0.657082,0.002782,BLEU INTENSE,CABALLEROS,ANTES DE APARECER (NUEVO),202316.0
56,202211,PE,CONSULTORA,MASIVO,3025_3143_318854_318854,3,SET,200042358,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB ID 100ML,135.0,40.0,1.0,1661.1,0.703704,0.704398,0.000409,ID,CABALLEROS,ACTIVO,201513.0
63,202308,PE,CONSULTORA,MASIVO,3706_3863_3717_3717,3,SET,200059602,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB CONCENTRE ROSTRO 50G,310.0,120.9,1.0,2356.58,0.61,0.657358,0.000168,CONCENTRE TOTAL,PARA ROSTRO,A DESCONTINUAR CONGELADO,202305.0
64,202308,PE,CONSULTORA,MASIVO,1429_1523_1374_1374,999,VOLUMEN,200106352,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB SIGNATURE SKY PARF 100ML,191.0,86.9,1.0,1178.24,0.545026,0.545026,0.000117,SIGNATURE SKY,CABALLEROS,A DESCONTINUAR CONGELADO,202209.0
73,202304,PE,CONSULTORA,MASIVO,1086_1200_374938_374938,999,VOLUMEN,200050981,10,COSMETICOS,A,LBEL,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,383,HUMECTANTES-NUTRITIVAS,0,0,LB MITHYKA LOC PERF 160ML,82.0,14.99,3.0,23513.87,0.817195,0.8117,0.013829,MITHYKA,CUERPO,INACTIVO,201401.0
76,202207,PE,CONSULTORA,MASIVO,1215_1249_297518_297518,2,SET,200084555,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB COLLAGENESSE INTENSIVO 15ML,140.0,46.0,1.0,11966.96,0.671429,0.735253,0.002342,ADVANCED POWER CELL,PARA ROSTRO,ANTES DE APARECER (NUEVO),201401.0
81,202217,PE,CONSULTORA,MASIVO,3292_3785_353191_353191,3,SET,200105208,10,COSMETICOS,A,LBEL,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,383,HUMECTANTES-NUTRITIVAS,0,0,LB BOTAN CR MANOS MATCHA 50G,42.0,16.6,1.0,2659.2,0.604762,0.604762,0.001324,BOTANOLOGY,MANOS,LIQUIDACIÓN,202203.0
82,202214,PE,CONSULTORA,MASIVO,3086_3220_335478_335478,2,SET,200037781,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB SATIN ROUGE 50ML,182.0,49.98,1.0,1440.24,0.725385,0.725393,0.000258,IRRESISTIBLE,DAMAS,Inactivo,
84,202208,PE,CONSULTORA,MASIVO,1225_1365_302071_302071,999,VOLUMEN,200076160,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,93,ADULTOS-NIÑOS(AS)-BEBES,0,0,LB LIGNE EXP RISSANT AC 250ML,42.0,17.95,2.0,4350.1,0.572619,0.572619,0.002149,LIGNE EXPERTE,ACONDICIONADORES,INACTIVO,201401.0
85,202217,PE,CONSULTORA,MASIVO,3212_3705_353099_353099,2,SET,210097030,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,366,ADULTOS,0,0,LB BOTAN JAB BARRA 3UN,21.0,7.79,1.0,2442.05,0.629048,0.628814,0.002592,BOTANOLOGY,JABONES,ACTIVO,202015.0
90,202301,PE,CONSULTORA,MASIVO,1121_1231_361158_361158,999,VOLUMEN,200109538,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,LB MITHYKA LUMIERE PARF 50ML,167.0,40.68,2.0,5966.66,0.756407,0.7548,0.001386,MITHYKA LUMIERE,DAMAS,ACTIVO,202214.0
92,202313,PE,CONSULTORA,MASIVO,1094_1197_14616_14616,999,VOLUMEN,200109470,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB CONCE TO CR NUT PM 40+ 50G,198.0,86.9,1.0,12150.6,0.561111,0.561111,0.001229,CONCENTRE TOTAL,PARA ROSTRO,ANTES DE APARECER (NUEVO),202512.0
95,202317,PE,CONSULTORA,MASIVO,1353_1515_31089_31089,999,VOLUMEN,P0280105005,10,COSMETICOS,A,LBEL,MAQUILLAJE,2,MAQUILLAJE,91,POLVOS,0,0,LB POLVOS LARGA DURACION 10G,114.0,48.9,1.0,4682.72,0.571053,0.571053,0.000774,L'BEL,PARA ROSTRO,ANTES DE APARECER (NUEVO),198601.0
101,202308,PE,CONSULTORA,MASIVO,1358_1425_1292_1292,2,SET,200051249,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB BLEU INTENSE 100ML,158.0,58.97,1.0,17639.46,0.626772,0.633186,0.002579,BLEU INTENSE,CABALLEROS,ANTES DE APARECER (NUEVO),202316.0
104,202310,PE,CONSULTORA,MASIVO,1101_1207_406614_406614,999,VOLUMEN,200104065,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,40,HUMECTANTES,0,0,LB NOCTURNE MIST NIGHT 50 ML,98.0,0.0,1.0,0.0,1.0,0.7324,0.002966,NOCTURNE,PARA ROSTRO,A DESCONTINUAR BAJO ANALI,202205.0
105,202318,PE,CONSULTORA,MASIVO,1327_1416_35040_35040,999,VOLUMEN,200088458,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB LIVE INTENSE 100ML,160.0,53.3,3.0,7001.35,0.666875,0.677621,0.001121,LIVE ADVENTURE,CABALLEROS,INACTIVO,202007.0
107,202216,PE,CONSULTORA,MASIVO,1167_1234_344201_344201,991,INDIVIDUAL,200042358,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB ID 100ML,135.0,57.9,1.0,51621.49,0.571111,0.747162,0.007658,ID,CABALLEROS,ACTIVO,201513.0
116,202214,PE,CONSULTORA,MASIVO,1175_1256_333406_333406,999,VOLUMEN,200105335,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB LIVE POLO PARFUM 100 ML,150.0,49.95,2.0,10370.85,0.667,0.671111,0.001859,LIVE POLO,MASCULINO,ACTIVO,202115.0
121,202308,PE,CONSULTORA,MASIVO,3360_3517_3368_3368,1,INDIVIDUAL,200101394,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB SIGNATURE PARF MINI 10ML,62.0,27.9,1.0,70.92,0.55,0.55,2.2e-05,SIGNATURE,CABALLEROS,LIQUIDACIÓN,202109.0
135,202309,PE,CONSULTORA,MASIVO,1105_1164_401624_401624,991,INDIVIDUAL,200042358,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB ID 100ML,106.0,60.9,1.0,26579.15,0.425472,0.712736,0.003941,ID,CABALLEROS,ACTIVO,201513.0
140,202217,PE,CONSULTORA,MASIVO,1357_1407_350722_350722,2,SET,200095864,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,LB MON L'BEL 40ML,205.0,60.18,1.0,21267.0,0.706439,0.715385,0.002921,MON L'BEL,FEMENINO,ANTES DE APARECER (NUEVO),202510.0
147,202304,PE,CONSULTORA,MASIVO,1047_1114_374841_374841,2,SET,P0261052003,10,COSMETICOS,A,LBEL,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,LB LABIAL INFINI ABSOLU 7G,64.0,22.99,1.0,2142.83,0.640781,0.632468,0.000822,L'BEL,PARA LABIOS,A DESCONTINUAR CONGELADO,202312.0
152,202211,PE,CONSULTORA,MASIVO,1117_1218_316943_316943,999,VOLUMEN,200090313,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB NOCTURNE OJOS 15G,98.0,0.0,1.0,0.0,1.0,0.748319,0.001194,NOCTURNE,PARA OJOS,ANTES DE APARECER (NUEVO),202514.0
156,202215,PE,CONSULTORA,MASIVO,1219_1323_338744_338744,999,VOLUMEN,P0261050000,10,COSMETICOS,A,LBEL,MAQUILLAJE,2,MAQUILLAJE,91,POLVOS,0,0,LB POLVOS DIVINE DORADO 10G,110.0,47.9,1.0,27438.84,0.564545,0.570404,0.005138,L'BEL,PARA ROSTRO,INACTIVO,201401.0
161,202307,PE,CONSULTORA,MASIVO,1319_1376_391183_391183,2,SET,200109538,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,LB MITHYKA LUMIERE PARF 50ML,167.0,57.52,1.0,6971.23,0.655569,0.65947,0.001036,MITHYKA LUMIERE,DAMAS,ACTIVO,202214.0
166,202318,PE,CONSULTORA,MASIVO,1339_1452_35080_35080,999,VOLUMEN,200059602,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB CONCENTRE ROSTRO 50G,315.0,136.9,1.0,2088.34,0.565397,0.565397,0.00013,CONCENTRE TOTAL,PARA ROSTRO,A DESCONTINUAR CONGELADO,202305.0
173,202314,PE,CONSULTORA,MASIVO,3071_3547_21163_21163,999,VOLUMEN,200113615,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,LB CHIC ATTITUDE PERF 50ML,208.0,49.95,2.0,846.6,0.759856,0.728533,0.000148,CHIC ATTITUDE,DAMAS,ACTIVO,202315.0
181,202216,PE,CONSULTORA,MASIVO,1188_1316_344322_344322,999,VOLUMEN,200074219,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,366,ADULTOS,0,0,LB LIGNE EXP ALISSANT SH 250ML,42.0,17.95,2.0,9414.41,0.572619,0.572619,0.004506,LIGNE EXPERTE,SHAMPOO,LIQUIDACION CON PLAN,198601.0
188,202311,PE,CONSULTORA,MASIVO,1056_1306_6418_6418,999,VOLUMEN,200051086,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,37,LIMPIADORA-DEMAQUILLADORA,0,0,LB ESSENTIAL DEMAQ 125ML,78.0,16.65,6.0,187945.51,0.786538,0.786538,0.09609,ESSENTIAL,PARA ROSTRO,Inactivo,
191,202209,PE,CONSULTORA,MASIVO,3551_3667_309317_309317,3,SET,200098633,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB ROSE D'AMELIE 45ML,156.0,49.33,1.0,794.39,0.683782,0.76517,0.000149,ROSE D'AMELIE,DAMAS,A DESCONTINUAR BAJO ANALI,202016.0
196,202308,PE,CONSULTORA,MASIVO,4159_4355_4297_4297,999,VOLUMEN,200050957,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,LB REVE SENSUELLE 50ML,196.0,68.6,3.0,174.41,0.65,0.65,2.2e-05,REVE SENSUELLE,DAMAS,ACTIVO,201513.0
206,202402,PE,CONSULTORA,MASIVO,1141_1192_42173_42173,2,SET,200107822,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,93,ADULTOS-NIÑOS(AS)-BEBES,0,0,LB EXPERTÉ AC DAÑOS 200 ML,46.0,18.0,1.0,7000.08,0.608696,0.609783,0.003657,EXPERTÉ,ACONDICIONADORES,ACTIVO,202302.0
213,202211,PE,CONSULTORA,MASIVO,3004_3122_318813_318813,1,INDIVIDUAL,200074303,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,93,ADULTOS-NIÑOS(AS)-BEBES,0,0,LB LIGNE EXP ALISSANT AC 250ML,42.0,19.9,1.0,792.47,0.52619,0.52619,0.000356,LIGNE EXPERTE,ACONDICIONADORES,LIQUIDACION CON PLAN,198601.0
218,202210,PE,CONSULTORA,MASIVO,1148_1241_311714_311714,999,VOLUMEN,200082974,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB DEVOS MAG SEDUCTION 100ML,188.0,56.63,3.0,13867.42,0.698777,0.702574,0.002234,DEVOS MAGNETIC SEDUCTION,CABALLEROS,ACTIVO,201614.0
220,202206,PE,CONSULTORA,MASIVO,1203_1274_292655_292655,2,SET,P0602155136,50,APOYO,A,LBEL,PROMOCIONES DE 3ROS,72,PROMOCION USUARIOS,33,BOLSA,1,0,,6.0,0.0,1.0,-0.5,1.0,0.676978,0.006049,,,,
226,202213,PE,CONSULTORA,MASIVO,3310_3431_330233_330233,2,SET,200098633,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB ROSE D'AMELIE 45ML,156.0,50.36,1.0,3286.36,0.677179,0.677155,0.000573,ROSE D'AMELIE,DAMAS,A DESCONTINUAR BAJO ANALI,202016.0
231,202214,PE,CONSULTORA,MASIVO,1186_1301_333475_333475,999,VOLUMEN,200082480,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB BLEU INTENSE NIGHT 100ML,150.0,50.25,2.0,32109.09,0.665,0.708704,0.005631,BLEU INTENSE NIGHT,CABALLEROS,INACTIVO,201504.0
240,202311,PE,CONSULTORA,MASIVO,2631_3173_8286_8286,2,SET,200103963,10,COSMETICOS,A,LBEL,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,383,HUMECTANTES-NUTRITIVAS,0,0,LB BOTAN MANOS ALOE V2 50G,48.0,8.0,1.0,35452.62,0.833333,0.703191,0.037722,BOTANOLOGY,MANOS,ACTIVO,202101.0
243,202214,PE,CONSULTORA,MASIVO,3133_3267_335377_335377,2,SET,200083596,10,COSMETICOS,A,LBEL,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,45,BRONCEADORES-BLOQUEADORES,0,0,LB DEFENSE ROS&CUE 80ML,104.0,31.64,1.0,3056.41,0.695769,0.695732,0.000865,DEFENSE TOTAL,CUERPO,DUAL PLANNING,202301.0
246,202315,PE,CONSULTORA,MASIVO,1119_1169_22672_22672,999,VOLUMEN,200089567,10,COSMETICOS,A,LBEL,FRAGANCIAS,12,MUESTRAS COSMETICOS,1,COLONIA Y O EAU DE TOILETE,0,0,BLEU INTENSE PROB 2ML,1.9,0.88,30.0,117.85,0.536842,0.787253,0.001184,BLEU INTENSE,FRAGANCIAS,ANTES DE APARECER (NUEVO),201401.0
252,202215,PE,CONSULTORA,MASIVO,1203_1276_338695_338695,999,VOLUMEN,200088458,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB LIVE INTENSE 100ML,150.0,42.98,2.0,2331.2,0.713467,0.717237,0.000511,LIVE ADVENTURE,CABALLEROS,INACTIVO,202007.0
254,202318,PE,CONSULTORA,MASIVO,1343_1474_35122_35122,999,VOLUMEN,200101369,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB MITHYKA ELIXIR PARFUM 50 ML,178.0,41.98,1.0,2775.24,0.764157,0.743399,0.000564,MITHYKA ELIXIR,DAMAS,ACTIVO,202107.0
257,202207,PE,CONSULTORA,MASIVO,1210_1244_297513_297513,2,SET,200038988,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,LB SATIN ROUGE MINI 10ML,50.0,15.0,1.0,5846.61,0.7,0.687829,0.003509,IRRESISTIBLE,DAMAS,INACTIVO,201401.0
267,202304,PE,CONSULTORA,MASIVO,1098_1223_374979_374979,999,VOLUMEN,200110090,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,93,ADULTOS-NIÑOS(AS)-BEBES,0,0,LB EXPERTÉ AC RIZOS 200 ML,46.0,19.9,1.0,640.68,0.567391,0.567391,0.000284,EXPERTÉ,ACONDICIONADORES,ACTIVO,202302.0
272,202318,PE,CONSULTORA,MASIVO,1263_1340_34939_34939,2,SET,200113372,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,74,CUIDADO SOLAR,0,0,LB DEFENSE ROSTRO + HIDRA 30ML,108.0,37.13,1.0,2171.4,0.656204,0.649815,0.000499,DEFENSE TOTAL,PARA ROSTRO,A DESCONTINUAR CONGELADO,202318.0
275,202209,PE,CONSULTORA,MASIVO,1158_1201_306707_306707,2,SET,200105270,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB BIO OLEO DETOX 28ML,113.0,42.9,1.0,6435.68,0.620354,0.680296,0.00139,BIO RESIST,PARA ROSTRO,A DESCONTINUAR CONGELADO,202203.0
277,202213,PE,CONSULTORA,MASIVO,1288_1376_328063_328063,999,VOLUMEN,200051249,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB BLEU INTENSE 100ML,150.0,41.58,4.0,11980.75,0.7228,0.725,0.00253,BLEU INTENSE,CABALLEROS,ANTES DE APARECER (NUEVO),202316.0
279,202216,PE,CONSULTORA,MASIVO,1151_1218_344170_344170,2,SET,200053740,10,COSMETICOS,A,LBEL,MAQUILLAJE,2,MAQUILLAJE,999,VARIOS,0,0,LB KIT DE CEJAS Y OJOS 4.4G,95.0,32.0,1.0,15945.77,0.663158,0.647794,0.004281,L'BEL,PARA OJOS,INACTIVO,201401.0
294,202307,PE,CONSULTORA,MASIVO,3595_3756_393607_393607,1,INDIVIDUAL,200004616,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB CT CC DERMOCLARITE DIA 30ML,131.0,56.9,1.0,241.1,0.565649,0.565649,3.6e-05,DERMO CLARITE,PARA ROSTRO,Inactivo,
295,202307,PE,CONSULTORA,MASIVO,1385_1531_391378_391378,999,VOLUMEN,200107823,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,366,ADULTOS,0,0,LB EXPERTÉ TRA NUTRICI 200ML,58.0,23.9,1.0,2389.5,0.587931,0.587931,0.000855,EXPERTÉ,TRATAMIENTO CAPILAR,ACTIVO,202302.0
